family,level,key,metric,old,new,absolute_difference,old_3dp,new_3dp,both_undefined,definition_changed,passed
strict_temporal,detail,Forecasting|110,precision,1,,,1.000,,False,True,False
strict_temporal,detail,Forecasting|110,recall,1,0,1,1.000,0.000,False,False,False
strict_temporal,detail,Forecasting|110,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1102,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1102,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1102,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1102,R2(p3),-1.88,-1.929999776,0.049999776,-1.880,-1.930,False,False,False
strict_temporal,detail,Forecasting|1103,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1103,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1103,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1103,R2(p3),-1.88,-1.465000222,0.414999778,-1.880,-1.465,False,False,False
strict_temporal,detail,Forecasting|1107,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1107,precision,,,,,,True,False,True
strict_temporal,detail,Forecasting|1107,recall,,,,,,True,False,True
strict_temporal,detail,Forecasting|1107,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|111,accuracy,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|111,precision,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|111,recall,,,,,,True,False,True
strict_temporal,detail,Forecasting|111,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1112,accuracy,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|1112,precision,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|1112,recall,,,,,,True,False,True
strict_temporal,detail,Forecasting|1112,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1113,accuracy,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|1113,precision,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|1113,recall,,,,,,True,False,True
strict_temporal,detail,Forecasting|1113,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1114,accuracy,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|1114,precision,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|1114,recall,,,,,,True,False,True
strict_temporal,detail,Forecasting|1114,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|112,accuracy,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|112,precision,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|112,recall,,,,,,True,False,True
strict_temporal,detail,Forecasting|112,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1124,accuracy,1,0,1,1.000,0.000,False,False,False
strict_temporal,detail,Forecasting|1124,precision,,0,,,0.000,False,True,False
strict_temporal,detail,Forecasting|1124,recall,,,,,,True,False,True
strict_temporal,detail,Forecasting|1124,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1128,accuracy,1,0,1,1.000,0.000,False,False,False
strict_temporal,detail,Forecasting|1128,precision,,0,,,0.000,False,True,False
strict_temporal,detail,Forecasting|1128,recall,,,,,,True,False,True
strict_temporal,detail,Forecasting|1128,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|113,accuracy,1,0,1,1.000,0.000,False,False,False
strict_temporal,detail,Forecasting|113,precision,1,,,1.000,,False,True,False
strict_temporal,detail,Forecasting|113,recall,1,0,1,1.000,0.000,False,False,False
strict_temporal,detail,Forecasting|113,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1131,accuracy,1,0,1,1.000,0.000,False,False,False
strict_temporal,detail,Forecasting|1131,precision,1,,,1.000,,False,True,False
strict_temporal,detail,Forecasting|1131,recall,1,0,1,1.000,0.000,False,False,False
strict_temporal,detail,Forecasting|1131,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|114,accuracy,1,0,1,1.000,0.000,False,False,False
strict_temporal,detail,Forecasting|114,precision,1,,,1.000,,False,True,False
strict_temporal,detail,Forecasting|114,recall,1,0,1,1.000,0.000,False,False,False
strict_temporal,detail,Forecasting|114,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1145,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1145,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1145,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1145,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1146,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1146,precision,1,1,0,1.000,1.000,False,False,True
