task,model_component,feature_order,feature_name,source_dtype,native_missingness_preserved,feature_order_sha256
Contemporaneous,direct_contemporaneous_phase45_classifier,133,rainfall_chirps_z_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,134,temperature_2m_mean_z_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,135,GOSIF_GPP_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,136,WFP_Price_Change_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,137,WFP_Price_Volatility_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,138,fatalities_battles_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,139,fatalities_explosions_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,140,fatalities_violence_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,141,event_count_battles_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,142,event_count_explosions_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,143,event_count_violence_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,144,precipitation_sum_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,145,soil_moisture_mean_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,146,shortwave_radiation_sum_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,147,temperature_2m_mean_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,148,price_index_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,149,rainfall_chirps_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,150,nightlight_mean_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,151,EVI_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,152,fatalities_battles_w5_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,153,fatalities_explosions_w5_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,154,fatalities_violence_w5_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,155,event_count_battles_w5_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,156,event_count_explosions_w5_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,157,event_count_violence_w5_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,158,fatalities_battles_w10_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,159,fatalities_explosions_w10_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,160,fatalities_violence_w10_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,161,event_count_battles_w10_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,162,event_count_explosions_w10_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,163,event_count_violence_w10_s12_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
