layer,feature_order,original_feature,feature_time_type,reference_month_rule,neighbor_eligible,knn5_feature_name,d200_feature_name
nowcasting_layer2,20,event_count_violence_m12,dynamic,row_month,True,event_count_violence_m12__knn5_mean,event_count_violence_m12__d200_mean
nowcasting_layer2,21,event_count_explosions_m12,dynamic,row_month,True,event_count_explosions_m12__knn5_mean,event_count_explosions_m12__d200_mean
nowcasting_layer2,22,fatalities_battles_w5_m12,dynamic,row_month,True,fatalities_battles_w5_m12__knn5_mean,fatalities_battles_w5_m12__d200_mean
nowcasting_layer2,23,event_count_violence_w5_m12,dynamic,row_month,True,event_count_violence_w5_m12__knn5_mean,event_count_violence_w5_m12__d200_mean
nowcasting_layer2,24,soil_moisture_mean_s12,dynamic,row_month,True,soil_moisture_mean_s12__knn5_mean,soil_moisture_mean_s12__d200_mean
nowcasting_layer2,25,event_count_explosions_w5_m12,dynamic,row_month,True,event_count_explosions_w5_m12__knn5_mean,event_count_explosions_w5_m12__d200_mean
nowcasting_layer2,26,WFP_Price_Volatility_s12,dynamic,row_month,True,WFP_Price_Volatility_s12__knn5_mean,WFP_Price_Volatility_s12__d200_mean
nowcasting_layer2,27,event_count_violence,dynamic,row_month,True,event_count_violence__knn5_mean,event_count_violence__d200_mean
nowcasting_layer2,28,precipitation_sum_m12,dynamic,row_month,True,precipitation_sum_m12__knn5_mean,precipitation_sum_m12__d200_mean
nowcasting_layer2,29,event_count_violence_w10,dynamic,row_month,True,event_count_violence_w10__knn5_mean,event_count_violence_w10__d200_mean
nowcasting_layer2,30,fatalities_violence_w10_m12,dynamic,row_month,True,fatalities_violence_w10_m12__knn5_mean,fatalities_violence_w10_m12__d200_mean
nowcasting_layer2,31,event_count_battles,dynamic,row_month,True,event_count_battles__knn5_mean,event_count_battles__d200_mean
nowcasting_layer2,32,event_count_explosions_w5,dynamic,row_month,True,event_count_explosions_w5__knn5_mean,event_count_explosions_w5__d200_mean
nowcasting_layer2,33,fatalities_explosions_w10_m12,dynamic,row_month,True,fatalities_explosions_w10_m12__knn5_mean,fatalities_explosions_w10_m12__d200_mean
nowcasting_layer2,34,event_count_battles_w10,dynamic,row_month,True,event_count_battles_w10__knn5_mean,event_count_battles_w10__d200_mean
nowcasting_layer2,35,temperature_2m_mean_m12,dynamic,row_month,True,temperature_2m_mean_m12__knn5_mean,temperature_2m_mean_m12__d200_mean
nowcasting_layer2,36,rainfall_chirps_m12,dynamic,row_month,True,rainfall_chirps_m12__knn5_mean,rainfall_chirps_m12__d200_mean
nowcasting_layer2,37,fatalities_violence_m12,dynamic,row_month,True,fatalities_violence_m12__knn5_mean,fatalities_violence_m12__d200_mean
nowcasting_layer2,38,WFP_Price_Change,dynamic,row_month,True,WFP_Price_Change__knn5_mean,WFP_Price_Change__d200_mean
nowcasting_layer2,39,event_count_explosions_w10,dynamic,row_month,True,event_count_explosions_w10__knn5_mean,event_count_explosions_w10__d200_mean
nowcasting_layer2,40,gini,dynamic,row_month,True,gini__knn5_mean,gini__d200_mean
nowcasting_layer2,41,cpi,dynamic,row_month,True,cpi__knn5_mean,cpi__d200_mean
nowcasting_layer2,42,fatalities_violence_w5_m12,dynamic,row_month,True,fatalities_violence_w5_m12__knn5_mean,fatalities_violence_w5_m12__d200_mean
nowcasting_layer2,43,infra_index_s12,dynamic,row_month,True,infra_index_s12__knn5_mean,infra_index_s12__d200_mean
nowcasting_layer2,44,shortwave_radiation_sum_m12,dynamic,row_month,True,shortwave_radiation_sum_m12__knn5_mean,shortwave_radiation_sum_m12__d200_mean
nowcasting_layer2,45,price_index_m12,dynamic,row_month,True,price_index_m12__knn5_mean,price_index_m12__d200_mean
nowcasting_layer2,46,fatalities_battles_w10_m12,dynamic,row_month,True,fatalities_battles_w10_m12__knn5_mean,fatalities_battles_w10_m12__d200_mean
nowcasting_layer2,47,event_count_violence_w5,dynamic,row_month,True,event_count_violence_w5__knn5_mean,event_count_violence_w5__d200_mean
nowcasting_layer2,48,fatalities_explosions_w10,dynamic,row_month,True,fatalities_explosions_w10__knn5_mean,fatalities_explosions_w10__d200_mean
nowcasting_layer2,49,CC.PER.RNK,dynamic,row_month,True,CC.PER.RNK__knn5_mean,CC.PER.RNK__d200_mean
nowcasting_layer2,50,fatalities_violence_w5,dynamic,row_month,True,fatalities_violence_w5__knn5_mean,fatalities_violence_w5__d200_mean
nowcasting_layer2,51,shortwave_radiation_sum_s12,dynamic,row_month,True,shortwave_radiation_sum_s12__knn5_mean,shortwave_radiation_sum_s12__d200_mean
nowcasting_layer2,52,fatalities_battles_w10,dynamic,row_month,True,fatalities_battles_w10__knn5_mean,fatalities_battles_w10__d200_mean
nowcasting_layer2,53,fatalities_battles_m12,dynamic,row_month,True,fatalities_battles_m12__knn5_mean,fatalities_battles_m12__d200_mean
nowcasting_layer2,54,nightlight_mean_m12,dynamic,row_month,True,nightlight_mean_m12__knn5_mean,nightlight_mean_m12__d200_mean
nowcasting_layer2,55,fatalities_battles_w5,dynamic,row_month,True,fatalities_battles_w5__knn5_mean,fatalities_battles_w5__d200_mean
nowcasting_layer2,56,event_count_battles_w5,dynamic,row_month,True,event_count_battles_w5__knn5_mean,event_count_battles_w5__d200_mean
nowcasting_layer2,57,fatalities_violence_w10,dynamic,row_month,True,fatalities_violence_w10__knn5_mean,fatalities_violence_w10__d200_mean
nowcasting_layer2,58,fatalities_violence,dynamic,row_month,True,fatalities_violence__knn5_mean,fatalities_violence__d200_mean
nowcasting_layer2,59,infra_index,dynamic,row_month,True,infra_index__knn5_mean,infra_index__d200_mean
nowcasting_layer2,60,fatalities_explosions_m12,dynamic,row_month,True,fatalities_explosions_m12__knn5_mean,fatalities_explosions_m12__d200_mean
nowcasting_layer2,61,temperature_z_score,dynamic,row_month,True,temperature_z_score__knn5_mean,temperature_z_score__d200_mean
nowcasting_layer2,62,event_count_explosions_w10_m12,dynamic,row_month,True,event_count_explosions_w10_m12__knn5_mean,event_count_explosions_w10_m12__d200_mean
nowcasting_layer2,63,NY.GDP.PCAP.KD,dynamic,row_month,True,NY.GDP.PCAP.KD__knn5_mean,NY.GDP.PCAP.KD__d200_mean
nowcasting_layer2,64,fatalities_explosions_w5,dynamic,row_month,True,fatalities_explosions_w5__knn5_mean,fatalities_explosions_w5__d200_mean
nowcasting_layer2,65,precipitation_sum_s12,dynamic,row_month,True,precipitation_sum_s12__knn5_mean,precipitation_sum_s12__d200_mean
nowcasting_layer2,66,WFP_Price_Volatility,dynamic,row_month,True,WFP_Price_Volatility__knn5_mean,WFP_Price_Volatility__d200_mean
nowcasting_layer2,67,nightlight_mean_s12,dynamic,row_month,True,nightlight_mean_s12__knn5_mean,nightlight_mean_s12__d200_mean
nowcasting_layer2,68,GOSIF_GPP_m12,dynamic,row_month,True,GOSIF_GPP_m12__knn5_mean,GOSIF_GPP_m12__d200_mean
