task,method,layer,feature,source_order,training_observed_count,training_missing_count,training_missing_rate,training_median,scaling_center,scaling_scale,retained,retained_order,exclusion_reason,duplicate_of_feature,rank_policy
Nowcasting,Multinomial,direct,fatalities_battles_w10,26,4405,0,0,0,2.0294567318691841,9.1776524084023645,True,26,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,fatalities_explosions_w10,27,4405,0,0,0,0.14854728063499809,1.392093904787453,True,27,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,fatalities_violence_w10,28,4405,0,0,0,2.3443902665667862,6.8690495345988705,True,28,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,event_count_battles_w10,29,4405,0,0,0,2.1667170381440308,8.5904606411749533,True,29,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,event_count_explosions_w10,30,4405,0,0,0,0.24113233528671532,1.738545506040565,True,30,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,event_count_violence_w10,31,4405,0,0,0.58402783759639421,3.2881138896894093,8.9750656627171566,True,31,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,fatalities_battles_m12,32,4405,0,0,0,1.2981666253422441,6.5705101435793516,True,32,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,fatalities_explosions_m12,33,4405,0,0,0,0.059108128045790118,0.84240377525589982,True,33,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,fatalities_violence_m12,34,4405,0,0,0.1000924854565618,0.92868995802242038,2.2102524058567545,True,34,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,event_count_battles_m12,35,4405,0,0,0.067766792780667995,0.35344537756340633,1.1808509414171215,True,35,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,event_count_explosions_m12,36,4405,0,0,0,0.052272506896591353,0.57542795436294925,True,36,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,event_count_violence_m12,37,4405,0,0,0.2261107710840192,0.49285242994474104,0.85374428215732467,True,37,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,fatalities_battles_w5_m12,38,4405,0,0,0,2.0423077168982244,8.7477276988675694,True,38,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,fatalities_explosions_w5_m12,39,4405,0,0,0,0.13741182771987145,1.2224365410197393,True,39,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,fatalities_violence_w5_m12,40,4405,0,0,0.38548376659329159,2.489787328175364,5.3062729660546042,True,40,,,not_applied_authoritative_adapter
