test_index,overall_phase,overall_phase_pred,phase3_pred,area_id,date,_merge
3049,3,2,0.17,1188,2022-02-01,both
3050,3,2,0.17,1188,2022-05-01,both
3051,3,2,0.17,1188,2022-07-01,both
3058,2,3,0.25,1189,2022-01-01,both
3059,3,3,0.25,1189,2022-02-01,both
3060,2,3,0.32,1189,2022-10-01,both
3069,3,2,0.13,1190,2022-01-01,both
3070,3,2,0.14,1190,2022-05-01,both
3071,2,2,0.19,1190,2022-07-01,both
3072,2,3,0.2,1190,2022-10-01,both
3077,2,3,0.33,1192,2022-10-01,both
3089,3,2,0.12,1195,2022-01-01,both
3090,3,2,0.12,1195,2022-05-01,both
3091,2,2,0.19,1195,2022-07-01,both
3092,2,2,0.18,1195,2022-10-01,both
3104,2,3,0.21,1196,2022-01-01,both
3105,3,3,0.21,1196,2022-02-01,both
3106,3,3,0.27,1196,2022-05-01,both
3107,3,3,0.27,1196,2022-07-01,both
3108,2,3,0.26,1196,2022-10-01,both
3120,2,3,0.21,1197,2022-01-01,both
3121,3,3,0.21,1197,2022-02-01,both
3122,3,3,0.27,1197,2022-05-01,both
3123,3,3,0.27,1197,2022-07-01,both
3124,2,3,0.26,1197,2022-10-01,both
3133,3,2,0.17,1200,2022-10-01,both
3138,3,3,0.24,1203,2022-02-01,both
3139,3,3,0.35,1203,2022-10-01,both
3144,3,3,0.25,1204,2022-02-01,both
3145,3,3,0.33,1204,2022-10-01,both
3152,2,2,0.15,1207,2022-01-01,both
3153,3,2,0.17,1207,2022-05-01,both
3154,3,2,0.19,1207,2022-07-01,both
3156,2,3,0.32,1210,2022-07-01,both
3166,2,3,0.23,1211,2022-01-01,both
3167,3,3,0.24,1211,2022-05-01,both
3168,3,3,0.32,1211,2022-07-01,both
3171,2,3,0.23,1212,2022-10-01,both
3179,3,3,0.24,1214,2022-05-01,both
3180,3,3,0.34,1214,2022-07-01,both
3181,3,3,0.32,1214,2022-10-01,both
3183,2,3,0.38,1215,2022-10-01,both
3190,3,2,0.18,1216,2022-01-01,both
3191,2,3,0.3,1216,2022-10-01,both
3198,3,2,0.18,1217,2022-01-01,both
3199,2,3,0.3,1217,2022-10-01,both
3213,3,2,0.15,1220,2022-01-01,both
3214,3,2,0.16,1220,2022-05-01,both
3215,2,3,0.24,1220,2022-07-01,both
3216,2,3,0.24,1220,2022-10-01,both
3224,3,3,0.25,1222,2022-05-01,both
3225,3,3,0.34,1222,2022-07-01,both
3226,2,3,0.35,1222,2022-10-01,both
3233,3,2,0.16,1223,2022-01-01,both
3234,2,2,0.16,1223,2022-07-01,both
3235,2,3,0.25,1223,2022-10-01,both
3249,3,2,0.17,1226,2022-01-01,both
3250,3,3,0.26,1226,2022-07-01,both
3251,2,3,0.24,1226,2022-10-01,both
3258,2,3,0.21,1227,2022-01-01,both
3265,2,3,0.2,1228,2022-01-01,both
3266,4,3,0.22,1228,2022-05-01,both
