experiment,threshold_percent,task,model,removed_feature_count,removed_country_count,removed_country_iso3,overall_accuracy,phase3plus_precision,phase3plus_recall,phase3above_r2,n_train,n_test,status,reason,delta_overall_accuracy_vs_xgboost,delta_phase3plus_precision_vs_xgboost,delta_phase3plus_recall_vs_xgboost,delta_phase3above_r2_vs_xgboost
country_removal,10,Forecasting,Ordered Probit,0,3,ZWE;DOM;SDN,0.4892519346517627,0.79372197309417036,0.60755148741418763,-1.2147031110196131,4395,1163,generated,,-0.18228718830610485,-0.0035356175032831283,-0.32379862700228834,-0.98533568764697965
country_removal,10,Nowcasting,XGBoost,0,3,ZWE;ZMB;SDN,0.66666666666666663,0.78747628083491461,0.94857142857142862,-0.23822441917943649,4374,1164,generated,,0,0,0,0
country_removal,10,Nowcasting,Ensemble OLS,0,3,ZWE;ZMB;SDN,0.5403780068728522,0.79237844940867275,0.68914285714285717,-0.97931784478497286,4374,1164,generated,,-0.12628865979381443,0.0049021685737581366,-0.25942857142857145,-0.74109342560553637
country_removal,10,Nowcasting,Ordered Probit,0,3,ZWE;ZMB;SDN,0.49054982817869414,0.83793103448275863,0.55542857142857138,-1.2232802768166091,4374,1164,generated,,-0.17611683848797249,0.05045475364784402,-0.39314285714285724,-0.98505585763717263
country_removal,30,Forecasting,XGBoost,0,9,ZWE;DOM;SDN;ZMB;TJK;MDG;ZAF;MWI;MOZ,0.65295169946332732,0.79120879120879117,0.93617021276595747,-0.27778646919760797,4194,1118,generated,,0,0,0,0
country_removal,30,Forecasting,Ensemble OLS,0,9,ZWE;DOM;SDN;ZMB;TJK;MDG;ZAF;MWI;MOZ,0.52325581395348841,0.80456490727532093,0.66666666666666663,-1.0357130440828812,4194,1118,generated,,-0.1296958855098389,0.013356116066529755,-0.26950354609929084,-0.75792657488527326
country_removal,30,Forecasting,Ordered Probit,0,9,ZWE;DOM;SDN;ZMB;TJK;MDG;ZAF;MWI;MOZ,0.47316636851520572,0.80129240710823912,0.58628841607565008,-1.2980722430816294,4194,1118,generated,,-0.1797853309481216,0.010083615899447951,-0.34988179669030739,-1.0202857738840214
country_removal,30,Nowcasting,XGBoost,0,9,ZWE;ZMB;SDN;DOM;TJK;LSO;SWZ;ZAF;MDG,0.66163410301953818,0.79286422200198214,0.93567251461988299,-0.28294167152197813,4270,1126,generated,,0,0,0,0
country_removal,30,Nowcasting,Ensemble OLS,0,9,ZWE;ZMB;SDN;DOM;TJK;LSO;SWZ;ZAF;MDG,0.54085257548845467,0.80108991825613074,0.68771929824561406,-1.0070261755249126,4270,1126,generated,,-0.12078152753108351,0.0082256962541485956,-0.24795321637426893,-0.72408450400293445
country_removal,30,Nowcasting,Ordered Probit,0,9,ZWE;ZMB;SDN;DOM;TJK;LSO;SWZ;ZAF;MDG,0.49644760213143874,0.83333333333333337,0.57894736842105265,-1.23056904253253,4270,1126,generated,,-0.16518650088809944,0.040469111331351226,-0.35672514619883033,-0.94762737101055183
