delta3,delta4,n_rows,ordinal_mae,balanced_accuracy,phase4_support,phase4_recall,phase3plus_precision,phase3plus_recall,distribution_discrepancy,actual_phase1_count,actual_phase2_count,actual_phase3_count,actual_phase4_count,actual_phase5_count,predicted_phase1_count,predicted_phase2_count,predicted_phase3_count,predicted_phase4_count,predicted_phase5_count,ordinal_mae_change,balanced_accuracy_change,phase4_recall_change,phase3plus_precision_change,phase3plus_recall_change,distribution_discrepancy_change,offset_l1,mae_improved,phase4_recall_improved,balanced_accuracy_not_lower,phase3plus_precision_within_tolerance,phase3plus_recall_within_tolerance,accepted,selection_rank,selected
-0.040000000000000001,0.059999999999999998,959,0.42544316996871739,0.3653145032051282,48,0.1875,0.80678851174934729,0.55178571428571432,0.38790406673618355,9,390,512,48,0,0,576,339,44,0,0.070907194994786205,0.018256710737179493,0.1875,0.043980162603237227,-0.16607142857142854,0.26903023983315955,0.10000000000000001,False,True,True,True,False,False,<NA>,False
-0.070000000000000007,0.040000000000000001,959,0.42544316996871739,0.33835136217948719,48,0.041666666666666664,0.8517350157728707,0.48214285714285715,0.52554744525547437,9,390,512,48,0,0,642,299,18,0,0.070907194994786205,-0.0087064302884615197,0.041666666666666664,0.088926666626760631,-0.23571428571428571,0.40667361835245042,0.11000000000000001,False,True,False,True,False,False,<NA>,False
-0.080000000000000002,0,959,0.42544316996871739,0.32726362179487178,48,0,0.85185185185185186,0.45178571428571429,0.56725755995828997,9,390,512,48,0,0,662,297,0,0,0.070907194994786205,-0.019794170673076927,0,0.089043502705741795,-0.26607142857142857,0.44838373305526602,0.080000000000000002,False,False,False,True,False,False,<NA>,False
-0.080000000000000002,0.01,959,0.42544316996871739,0.32726362179487178,48,0,0.85185185185185186,0.45178571428571429,0.56725755995828997,9,390,512,48,0,0,662,297,0,0,0.070907194994786205,-0.019794170673076927,0,0.089043502705741795,-0.26607142857142857,0.44838373305526602,0.089999999999999997,False,False,False,True,False,False,<NA>,False
-0.050000000000000003,0.059999999999999998,959,0.42857142857142855,0.36665915464743593,48,0.1875,0.8258426966292135,0.52500000000000002,0.44421272158498437,9,390,512,48,0,0,603,312,44,0,0.074035453597497358,0.019601362179487214,0.1875,0.063034347483103437,-0.19285714285714284,0.32533889468196042,0.11,False,True,True,True,False,False,<NA>,False
-0.080000000000000002,0.02,959,0.42857142857142855,0.32579877804487178,48,0,0.85185185185185186,0.45178571428571429,0.56725755995828986,9,390,512,48,0,0,662,294,3,0,0.074035453597497358,-0.021259014423076927,0,0.089043502705741795,-0.26607142857142857,0.44838373305526591,0.10000000000000001,False,False,False,True,False,False,<NA>,False
-0.059999999999999998,0.059999999999999998,959,0.42961418143899893,0.3677283653846154,48,0.1875,0.83870967741935487,0.51071428571428568,0.47549530761209591,9,390,512,48,0,0,618,297,44,0,0.075078206465067743,0.020670572916666685,0.1875,0.075901328273244806,-0.20714285714285718,0.35662148070907196,0.12,False,True,True,True,False,False,<NA>,False
-0.040000000000000001,0.070000000000000007,959,0.43065693430656932,0.36856971153846152,48,0.20833333333333334,0.80678851174934729,0.55178571428571432,0.39416058394160586,9,390,512,48,0,0,576,332,51,0,0.076120959332638127,0.021511919070512808,0.20833333333333334,0.043980162603237227,-0.16607142857142854,0.27528675703858185,0.11000000000000001,False,True,True,True,False,False,<NA>,False
-0.089999999999999997,0,959,0.43065693430656932,0.32699068509615381,48,0,0.87777777777777777,0.42321428571428571,0.62356621480709074,9,390,512,48,0,0,689,270,0,0,0.076120959332638127,-0.020067107371794901,0,0.1149694286316677,-0.29464285714285715,0.50469238790406679,0.089999999999999997,False,False,False,True,False,False,<NA>,False
-0.089999999999999997,0.01,959,0.43065693430656932,0.32699068509615381,48,0,0.87777777777777777,0.42321428571428571,0.62356621480709074,9,390,512,48,0,0,689,270,0,0,0.076120959332638127,-0.020067107371794901,0,0.1149694286316677,-0.29464285714285715,0.50469238790406679,0.099999999999999992,False,False,False,True,False,False,<NA>,False
-0.070000000000000007,0.050000000000000003,959,0.4316996871741397,0.35479016426282051,48,0.125,0.8517350157728707,0.48214285714285715,0.52554744525547437,9,390,512,48,0,0,642,285,32,0,0.077163712200208512,0.0077323717948717952,0.125,0.088926666626760631,-0.23571428571428571,0.40667361835245042,0.12000000000000001,False,True,True,True,False,False,<NA>,False
-0.080000000000000002,0.029999999999999999,959,0.4316996871741397,0.3290539863782051,48,0.020833333333333332,0.85185185185185186,0.45178571428571429,0.56725755995828986,9,390,512,48,0,0,662,289,8,0,0.077163712200208512,-0.018003806089743613,0.020833333333333332,0.089043502705741795,-0.26607142857142857,0.44838373305526591,0.11,False,True,False,True,False,False,<NA>,False
0,0.089999999999999997,959,0.43274244004171014,0.38514372996794871,48,0.3125,0.76280834914611007,0.71785714285714286,0.20646506777893639,9,390,512,48,0,0,432,422,105,0,0.078206465067778952,0.0380859375,0.3125,0,0,0.087591240875912413,0.089999999999999997,False,True,True,True,True,False,<NA>,False
-0.059999999999999998,0.070000000000000007,959,0.43378519290928053,0.37098357371794871,48,0.20833333333333334,0.83870967741935487,0.51071428571428568,0.47966631908237745,9,390,512,48,0,0,618,291,50,0,0.079249217935349336,0.02392578125,0.20833333333333334,0.075901328273244806,-0.20714285714285718,0.3607924921793535,0.13,False,True,True,True,False,False,<NA>,False
-0.089999999999999997,0.02,959,0.43378519290928053,0.32552584134615381,48,0,0.87777777777777777,0.42321428571428571,0.62356621480709085,9,390,512,48,0,0,689,267,3,0,0.079249217935349336,-0.021531951121794901,0,0.1149694286316677,-0.29464285714285715,0.5046923879040669,0.11,False,False,False,True,False,False,<NA>,False
