model,area_id,country_code_3,n_test_dates,accuracy,precision,recall,R2(p3),actual_phase3plus_count,predicted_phase3plus_count,true_positive,false_positive,false_negative,true_negative,precision_undefined_reason,recall_undefined_reason,r2_undefined_reason,nonpositive_cumulative_prediction_count
Forecasting,684,COD,2,0.5,0.5,1,0.2149999803,1,2,1,1,0,0,,,,0
Forecasting,685,COD,2,1,1,1,-1.664999858,2,2,2,0,0,0,,,,0
Forecasting,691,SSD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,692,SSD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,699,BDI,3,0.3333333333,0,,-9.080000801,0,2,0,2,0,1,,no_actual_phase3plus,,0
Forecasting,700,BDI,2,0,0,,-13.4799997,0,2,0,2,0,0,,no_actual_phase3plus,,0
Forecasting,701,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,702,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,703,BDI,3,1,1,1,0.7262500259,1,1,1,0,0,2,,,,0
Forecasting,704,BDI,3,1,1,1,0.6962500563,1,1,1,0,0,2,,,,0
Forecasting,705,ZAF,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,706,COD,2,0.5,0.5,1,0.2749998808,1,2,1,1,0,0,,,,0
Forecasting,707,BDI,3,0.6666666667,0.5,1,0.7133333278,1,2,1,1,0,1,,,,0
Forecasting,708,BDI,3,0.6666666667,0.5,1,0.6666665673,1,2,1,1,0,1,,,,0
Forecasting,711,SSD,2,1,1,1,0.2350001538,2,2,2,0,0,0,,,,0
Forecasting,712,SSD,2,1,1,1,0.2350001538,2,2,2,0,0,0,,,,0
Forecasting,716,COD,2,1,1,1,-0.5264000355,2,2,2,0,0,0,,,,0
Forecasting,717,COD,2,1,1,1,-0.0816000351,2,2,2,0,0,0,,,,0
Forecasting,723,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,724,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,726,COD,1,0,,0,,1,0,0,0,1,0,no_predicted_phase3plus,,insufficient_observations,0
Forecasting,727,ZAF,2,0,0,,-10.92000034,0,2,0,2,0,0,,no_actual_phase3plus,,0
Forecasting,732,SSD,2,1,1,1,-1.599999583,2,2,2,0,0,0,,,,0
Forecasting,733,SSD,2,1,1,1,-1.599999583,2,2,2,0,0,0,,,,0
Forecasting,735,SSD,2,1,1,1,-2.889999959,2,2,2,0,0,0,,,,0
Forecasting,736,SSD,2,1,1,1,-2.889999959,2,2,2,0,0,0,,,,0
Forecasting,748,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,749,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,752,UGA,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,753,UGA,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,759,SWZ,2,0.5,0,,,0,1,0,1,0,1,,no_actual_phase3plus,constant_actual_phase3plus_share,0
Forecasting,760,SSD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,761,SWZ,2,0.5,0,,,0,1,0,1,0,1,,no_actual_phase3plus,constant_actual_phase3plus_share,0
Forecasting,762,SSD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,768,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,769,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,770,SWZ,2,0.5,0,,,0,1,0,1,0,1,,no_actual_phase3plus,constant_actual_phase3plus_share,0
Forecasting,773,SWZ,2,0.5,0,,,0,1,0,1,0,1,,no_actual_phase3plus,constant_actual_phase3plus_share,0
Forecasting,779,SSD,2,0,1,1,-85.07999823,2,2,2,0,0,0,,,,0
Forecasting,780,SSD,2,0,1,1,-85.07999823,2,2,2,0,0,0,,,,0
Forecasting,781,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,782,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,783,SSD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,784,SSD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,785,SSD,2,1,1,1,-0.9850001955,2,2,2,0,0,0,,,,0
Forecasting,786,SSD,2,1,1,1,-0.9850001955,2,2,2,0,0,0,,,,0
Forecasting,789,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,793,SDN,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,794,SWZ,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,796,UGA,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,797,UGA,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,798,SWZ,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,799,SWZ,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,800,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,801,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,806,SSD,2,1,1,1,-14.82222271,2,2,2,0,0,0,,,,0
Forecasting,807,SSD,2,1,1,1,-14.82222271,2,2,2,0,0,0,,,,0
Forecasting,815,SSD,2,0,1,1,-301.8000116,2,2,2,0,0,0,,,,0
Forecasting,816,SSD,2,0,1,1,-301.8000116,2,2,2,0,0,0,,,,0
Forecasting,817,SSD,2,0,1,1,,2,2,2,0,0,0,,,constant_actual_phase3plus_share,0
Forecasting,818,SSD,2,0,1,1,,2,2,2,0,0,0,,,constant_actual_phase3plus_share,0
Forecasting,820,SSD,3,1,1,1,-0.3799999683,3,3,3,0,0,0,,,,0
Forecasting,821,SSD,3,1,1,1,-0.4057142612,3,3,3,0,0,0,,,,0
Forecasting,825,SDN,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,828,SDN,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,829,SDN,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,837,UGA,1,0,,0,,1,0,0,0,1,0,no_predicted_phase3plus,,insufficient_observations,0
Forecasting,842,SSD,4,1,1,1,-9.459999778,4,4,4,0,0,0,,,,0
Forecasting,843,SSD,4,1,1,1,-9.459999778,4,4,4,0,0,0,,,,0
Forecasting,844,SSD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,845,SSD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,852,UGA,1,0,,0,,1,0,0,0,1,0,no_predicted_phase3plus,,insufficient_observations,0
Forecasting,857,UGA,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,858,UGA,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,882,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,883,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,893,SSD,2,1,1,1,-133.7999996,2,2,2,0,0,0,,,,0
Forecasting,894,SSD,2,1,1,1,-130.2000031,2,2,2,0,0,0,,,,0
Forecasting,896,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,897,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,898,SSD,3,0.6666666667,0.6666666667,1,-0.2762163502,2,3,2,1,0,0,,,,0
